"","titulo","titulo original","ano","classificacao","duracao","enredo","nota","diretor","roteristas","poster"
"1","Um Sonho de Liberdade","Original title: The Shawshank Redemption","1994","16","2h 22m","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","9.3","Frank Darabont","Stephen King/Frank Darabont","https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg"
"2","O Poderoso Chefão","Original title: The Godfather","1972","14","2h 55m","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","9.2","Francis Ford Coppola","Mario Puzo/Francis Ford Coppola","https://m.media-amazon.com/images/M/MV5BZjgwNzE5ODgtYzAyZC00YTZhLThhNDktMDVlOGNhYzk5NTVkXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"3","Batman: O Cavaleiro das Trevas","Original title: The Dark Knight","2008","12","2h 32m","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","9.0","Christopher Nolan","Jonathan Nolan/Christopher Nolan/David S. Goyer","https://m.media-amazon.com/images/M/MV5BM2E1ZjEyYWQtMjgyMy00ZTkwLThkM2QtN2YwM2NmYzAyYjE0XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"4","O Poderoso Chefão II","Original title: The Godfather Part II","1974","14","3h 22m","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","9.0","Francis Ford Coppola","Francis Ford Coppola/Mario Puzo","https://m.media-amazon.com/images/M/MV5BOGM2M2Q0ZWQtZjc5NC00NDY4LWIxYTktMDE4ZjIyYTRlNTIyXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg"
"5","12 Homens e uma Sentença","Original title: 12 Angry Men","1957","Livre","1h 36m","The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.","9.0","Sidney Lumet","Reginald Rose","https://m.media-amazon.com/images/M/MV5BODRmNWRiYmUtNGM2Yy00NTgwLTgxNzMtMGExYzI5NjllNjBhXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"6","A Lista de Schindler","Original title: Schindler's List","1993","14","3h 15m","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","9.0","Steven Spielberg","Thomas Keneally/Steven Zaillian","https://m.media-amazon.com/images/M/MV5BYjM5ZjYxNjQtZjdhYi00NzBiLTgyNGItOGU3YTYwYWE0NmEzXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"7","O Senhor dos Anéis: O Retorno do Rei","Original title: The Lord of the Rings: The Return of the King","2003","14","3h 21m","Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","9.0","Peter Jackson","J.R.R. Tolkien/Fran Walsh/Philippa Boyens","https://m.media-amazon.com/images/M/MV5BNzZiOTI4MWItZGMxZC00NjZkLWJlOWUtMDY5YzE1NzhiNGRhXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg"
"8","Pulp Fiction: Tempo de Violência","Original title: Pulp Fiction","1994","18","2h 34m","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","8.9","Quentin Tarantino","Quentin Tarantino/Roger Avary","https://m.media-amazon.com/images/M/MV5BN2RiMTA1ZGQtOTNhYi00MjQyLTk0MzAtMWE1OTM2NWUxNzBkXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"9","O Senhor dos Anéis: A Sociedade do Anel","Original title: The Lord of the Rings: The Fellowship of the Ring","2001","12","2h 58m","A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","8.8","Peter Jackson","J.R.R. Tolkien/Fran Walsh/Philippa Boyens","https://m.media-amazon.com/images/M/MV5BNDEyMzU0ODUtMTdjOS00Y2E2LWJlZmEtYmJjMmQ2NWZlNGQ1XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"10","Três Homens em Conflito","Original title: Il buono, il brutto, il cattivo","1966","14","2h 41m","A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.","8.8","Sergio Leone","Luciano Vincenzoni/Sergio Leone/Agenore Incrocci","https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"11","Forrest Gump: O Contador de Histórias","Original title: Forrest Gump","1994","14","2h 22m","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","8.8","Robert Zemeckis","Winston Groom/Eric Roth","https://m.media-amazon.com/images/M/MV5BYWYwNWY0ZjMtYzUxZS00ODI3LTllNzctODNiNjhlNjcyNWM0XkEyXkFqcGdeQXVyMjcwMzM0OTI@._V1_.jpg"
"12","Clube da Luta","Original title: Fight Club","1999","18","2h 19m","An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.","8.8","David Fincher","Chuck Palahniuk/Jim Uhls","https://m.media-amazon.com/images/M/MV5BNDVhNjJlZmMtODJhOS00OWE4LTgxMzAtNjVlMzI0ZjI0OTMzXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"13","O Senhor dos Anéis: As Duas Torres","Original title: The Lord of the Rings: The Two Towers","2002","12","2h 59m","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","8.8","Peter Jackson","J.R.R. Tolkien/Fran Walsh/Philippa Boyens","https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg"
"14","A Origem","Original title: Inception","2010","14","2h 28m","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","8.8","Christopher Nolan","Christopher Nolan","https://m.media-amazon.com/images/M/MV5BN2NiZDM5ZjQtNGJjNy00NzhmLWI1NzktZTgzYTkyZDFmYTg2XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg"
"15","Star Wars: Episódio V - O Império Contra-Ataca","Original title: Star Wars: Episode V - The Empire Strikes Back","1980","Livre","2h 4m","After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","8.7","Irvin Kershner","Leigh Brackett/Lawrence Kasdan/George Lucas","https://m.media-amazon.com/images/M/MV5BNDQxYTExOWQtMzE4Zi00Yzg2LWEzYjUtMTBjMDdiYmY3ZTdjXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg"
"16","Matrix","Original title: The Matrix","1999","14","2h 16m","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","8.7","Lana Wachowski/Lilly Wachowski","Lilly Wachowski/Lana Wachowski","https://m.media-amazon.com/images/M/MV5BNjdlN2RiNWMtY2U5MC00YTYwLTg2NjAtY2E3NGQ2OThkOWNlXkEyXkFqcGdeQXVyNTk2MDQ0MjA@._V1_.jpg"
"17","Os Bons Companheiros","Original title: GoodFellas","1990","14","2h 25m","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","8.7","Martin Scorsese","Nicholas Pileggi/Martin Scorsese","https://m.media-amazon.com/images/M/MV5BOTI1ZWU1MWUtYzRjZC00ZjA3LTliOTMtZjkxYTczYTE2N2YwXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"18","Um Estranho no Ninho","Original title: One Flew Over the Cuckoo's Nest","1975","16","2h 13m","In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","8.7","Milos Forman","Lawrence Hauben/Bo Goldman/Ken Kesey","https://m.media-amazon.com/images/M/MV5BYjBlZjA2OTctZjVjMS00YzYzLTk3NDYtNjc4ZWVmNzQyNjZkXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"19","Seven: Os Sete Crimes Capitais","Original title: Se7en","1995","14","2h 7m","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","8.6","David Fincher","Andrew Kevin Walker","https://m.media-amazon.com/images/M/MV5BZDgyZmY5MmItY2I3Ny00NjA4LWFhNmItMGQ4ZGJhZDk5YjU3XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"20","A Felicidade Não se Compra","Original title: It's a Wonderful Life","1946","Livre","2h 10m","An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.","8.6","Frank Capra","Frances Goodrich/Albert Hackett/Frank Capra","https://m.media-amazon.com/images/M/MV5BMTYyOTAzZDUtMWUzYS00MjY4LTlmMTgtMGI5NzdmMWI5Y2FmXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg"
"21","Os Sete Samurais","Original title: Shichinin no samurai","1954","10","3h 27m","Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","8.6","Akira Kurosawa","Akira Kurosawa/Shinobu Hashimoto/Hideo Oguni","https://m.media-amazon.com/images/M/MV5BNWQ3OTM4ZGItMWEwZi00MjI5LWI3YzgtNTYwNWRkNmIzMGI5XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_.jpg"
